지역,소규모수도시설명,측정지점주소,채수위치,수원,정수처리방식,준공연도,소독제,시설용량(m3/일),X,Y,고도,분류 기호,분류명,area,비율,Trend,Slope
강원도 원주시,귀래,강원도 원주시 귀래면 한치길 1141,취수구,지하수,급속여과방식,1996,유리염소,500,127.8818505,37.1726507,145,P,논,13832,0.0772,increasing,0.06
인천광역시,길상,인천광역시 강화군 길상면 온수리 산218,취수구,지하수,완속여과방식,1986,유리염소,2980,126.4771672,37.6427148,22,P,논,12527,0.0731,increasing,0.08
충청북도 청주시,낭성 #1관정,충청북도 청주시 상당구 낭성면 이목리 5,취수구,지하수,급속여과방식,1996,차아염소산나트륨,600,127.6082406,36.624421,252,P,논,87174,0.4665,increasing,0.0375
전라남도 나주시,다시,전라남도 나주시 다시면 가운리 5161,취수구,지하수,급속여과방식,2005,차아염소산나트륨,1600,126.6461276,35.0283271,27,P,논,63225,0.3454,increasing,0.075
경상북도 의성군,다인,"경상북도 의성군 다인면 서릉리 3112,613,3144",취수구,지하수,급속여과방식,1994,유리염소,600,128.3414996,36.4482778,58,P,논,137788,0.7471,decreasing,-0.05
충청북도 진천군,백곡,충청북도 진천군 백곡면 석현리 12816,취수구,지하수,직접여과방식,2005,유리염소,700,127.3764445,36.880487,173,P,논,37909,0.2152,increasing,0.04
경기도 가평군,설악,경기도 가평군 설악면 신천리 79825,취수구,지하수,완속여과방식,1990,유리염소,2000,127.4832467,37.6644864,134,P,논,17685,0.0952,increasing,0.026666667
충청북도 괴산군,청천-2호정,충청북도 괴산군 청천면 선평길 8-27,취수구,지하수,0,2002,0,520,127.7288807,36.6624543,191,P,논,20836,0.1104,increasing,0.1625
충청북도 괴산군,청천-3호정,충청북도 괴산군 청천면 선평리 61-7,취수구,지하수,0,2007,0,200,127.7308603,36.6625579,182,P,논,20706,0.1136,increasing,0.1
전라남도 화순군,청풍이양,전라남도 화순군 청풍면 세청리 9904,취수구,지하수,완속여과방식,2000,차아염소산나트륨,2000,126.9707951,34.8946258,75,P,논,94699,0.5124,increasing,0.05
충청남도 당진시,합덕,충청남도 당진시 합덕읍 운산리 4963,취수구,지하수,소독만의방식,1978,유리염소,2400,126.7810848,36.800087,15,P,논,14932,0.0969,increasing,0.1
