지역,소규모수도시설명,측정지점주소,채수위치,수원,정수처리방식,준공연도,소독제,시설용량(m3/일),X,Y,고도,분류 기호,분류명,area,비율,Trend,Slope
강원도 원주시,귀래,강원도 원주시 귀래면 한치길 1141,취수구,지하수,급속여과방식,1996,유리염소,500,127.8818505,37.1726507,145,N,자연지,105247,0.5873,increasing,0.06
인천광역시,길상,인천광역시 강화군 길상면 온수리 산218,취수구,지하수,완속여과방식,1986,유리염소,2980,126.4771672,37.6427148,22,N,자연지,99051,0.578,increasing,0.08
제주특별자치도,납읍광역수원,제주특별자치도 제주시 애월읍 납읍리 703,취수구,지하수,0,2008,0,10800,126.3418532,33.4259395,177,N,자연지,107988,0.5727,increasing,0.033333333
충청북도 청주시,낭성 #1관정,충청북도 청주시 상당구 낭성면 이목리 5,취수구,지하수,급속여과방식,1996,차아염소산나트륨,600,127.6082406,36.624421,252,N,자연지,68880,0.3686,increasing,0.0375
전라남도 나주시,다시,전라남도 나주시 다시면 가운리 5161,취수구,지하수,급속여과방식,2005,차아염소산나트륨,1600,126.6461276,35.0283271,27,N,자연지,51185,0.2796,increasing,0.075
경상북도 의성군,다인,"경상북도 의성군 다인면 서릉리 3112,613,3144",취수구,지하수,급속여과방식,1994,유리염소,600,128.3414996,36.4482778,58,N,자연지,29435,0.1596,decreasing,-0.05
충청북도 진천군,백곡,충청북도 진천군 백곡면 석현리 12816,취수구,지하수,직접여과방식,2005,유리염소,700,127.3764445,36.880487,173,N,자연지,93940,0.5332,increasing,0.04
경상북도 울릉군,북면,경상북도 울릉군 북면 나리 392,취수구,용천수,소독만의방식,2007,유리염소,2000,130.8584837,37.5267369,114,N,자연지,173476,0.9277,decreasing,-0.05
제주특별자치도,"삼양1,2수원",제주특별자치도 제주시 삼양2동 19605,취수구,용천수,완속여과방식,1982,차아염소산나트륨,35000,126.5844628,33.5249912,26,N,자연지,94773,0.6736,decreasing,-0.014814815
제주특별자치도,삼양광역수원,제주특별자치도 제주시 삼양1동 63,취수구,지하수,0,2000,0,12500,126.6111326,33.5158447,45,N,자연지,45943,0.2439,decreasing,-0.044444444
경기도 가평군,설악,경기도 가평군 설악면 신천리 79825,취수구,지하수,완속여과방식,1990,유리염소,2000,127.4832467,37.6644864,134,N,자연지,153272,0.8248,increasing,0.026666667
강원도 원주시,신림,강원도 원주시 신림면 둔창예찬길 5147,취수구,지하수,급속여과방식,2001,유리염소,1000,128.0463689,37.2392579,380,N,자연지,191573,0.9855,decreasing,-0.031818182
제주특별자치도,어음광역수원,제주특별자치도 제주시 애월읍 어음리 2287,취수구,지하수,0,2007,0,7200,126.3399683,33.4119944,184,N,자연지,69731,0.3772,increasing,0.0375
제주특별자치도,옹포수원,제주특별자치도 제주시 한림읍 동명리 2121,취수구,용천수,고도처리방식,1997,차아염소산나트륨,10000,126.2611425,33.4032154,5,N,자연지,69508,0.4228,increasing,0.073913043
제주특별자치도,용담수원,제주특별자치도 제주시 용담1동 3811,취수구,용천수,급속여과방식,1997,차아염소산칼슘,15000,126.5133405,33.5018352,25,N,자연지,31465,0.2587,decreasing,-0.033333333
충청북도 괴산군,청천-2호정,충청북도 괴산군 청천면 선평길 8-27,취수구,지하수,0,2002,0,520,127.7288807,36.6624543,191,N,자연지,90021,0.477,increasing,0.1625
충청북도 괴산군,청천-3호정,충청북도 괴산군 청천면 선평리 61-7,취수구,지하수,0,2007,0,200,127.7308603,36.6625579,182,N,자연지,89401,0.4906,increasing,0.1
전라남도 화순군,청풍이양,전라남도 화순군 청풍면 세청리 9904,취수구,지하수,완속여과방식,2000,차아염소산나트륨,2000,126.9707951,34.8946258,75,N,자연지,47226,0.2555,increasing,0.05
충청남도 당진시,합덕,충청남도 당진시 합덕읍 운산리 4963,취수구,지하수,소독만의방식,1978,유리염소,2400,126.7810848,36.800087,15,N,자연지,61782,0.4009,increasing,0.1
